stock_id,r_squared,valid_count,invalid_count,incomplete_count
002064.SZ,0.2392,18460,827,9
002065.SZ,0.0112,22149,155,14
002066.SZ,0.3054,3721,2133,2
002067.SZ,0.1577,5091,1803,2
002068.SZ,0.0986,16219,1228,7
002069.SZ,0.0291,19639,281,8
002071.SZ,-0.0949,2980,1889,7
002073.SZ,0.1733,5182,2225,3
002074.SZ,0.1766,44917,25,43
002075.SZ,0.2216,18728,617,7
002078.SZ,0.2394,21278,608,4
002079.SZ,0.2373,16291,543,5
002080.SZ,0.1849,30676,357,6
002081.SZ,0.1100,41102,50,21
002082.SZ,0.0908,19595,379,21
002083.SZ,0.1538,8558,1471,4
002084.SZ,0.1914,14860,1162,4
002085.SZ,0.2197,12018,1079,6
002087.SZ,0.0707,6770,1528,7
002088.SZ,0.1265,2425,2024,3
002090.SZ,0.0569,3775,2079,4
002091.SZ,0.3599,9033,1885,3
002092.SZ,0.0844,13060,965,5
002093.SZ,0.1015,12138,1218,4
002094.SZ,0.1575,12602,1190,9
002095.SZ,0.1190,5141,1968,4
002096.SZ,0.0258,6335,1888,5
002097.SZ,0.2528,17539,917,5
002098.SZ,0.1701,2692,2023,2
002099.SZ,0.1431,11352,1292,5
002100.SZ,0.1756,23787,196,5
002101.SZ,0.0748,5488,1825,4
002103.SZ,0.0103,10354,1376,10
002104.SZ,0.0723,12091,977,9
002105.SZ,0.2016,17685,1079,7
002106.SZ,0.1800,27261,278,14
002107.SZ,0.2037,12817,1032,5
002108.SZ,-0.9002,415,18656,1
002109.SZ,-0.0022,12760,1114,5
002110.SZ,0.0763,9821,1346,4
002111.SZ,0.2466,17735,782,8
002112.SZ,0.2009,5220,2091,3
002114.SZ,0.3851,3193,2086,2
002115.SZ,0.0968,8546,1430,4
002116.SZ,0.2322,2909,1872,2
002117.SZ,0.2549,10073,1631,5
002118.SZ,0.3009,9230,1295,3
002119.SZ,0.0473,10793,1077,6
002120.SZ,0.0839,17449,465,6
002123.SZ,0.3018,16167,1037,10
002124.SZ,0.1796,27487,282,12
002125.SZ,0.0642,8284,1447,7
002126.SZ,0.2426,21669,695,13
002127.SZ,0.1225,32807,289,5
002128.SZ,0.1759,15801,836,7
002129.SZ,0.1095,29493,61,8
002130.SZ,0.1054,13745,614,4
002131.SZ,0.1789,23487,48,16
002132.SZ,0.3353,4396,1949,4
